Cluster,Project Title and Description,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Ocean Cluster,"CoLab Enterprise Phase II - Commercialization, Expansion and Technological Scaling This project will focus on two main areas: accelerating the commercialization of CoLab Enterprise and advancing the software solution for Enterprise Design Review. The key project outcome will be a commercialized CoLab Enterprise, a new product offering by CoLab. This collaboration platform will have the suite of innovative tools that allow design teams to securely share files collaboratively (without losing metadata), assign specific file-viewing permissions to specific user roles and to complete comprehensive design reviews in one central location.","CoLab Software, Genoa Design, Kraken Robotics, Energy Research & Innovation Newfoundland and Labrador, Aker Solutions Canada",General,1.49,2.99,04/20/2023,"St. John's, NL"
Ocean Cluster,"Remote Ocean Data Surveillance and Analysis (RODSA) This project brings together Canadian ocean technology innovators to integrate existing and emerging systems onto a common platform. Specifically, the project will enable advanced, remote surveillance and inspections of ocean infrastructure.","Shift Environmental Technologies, BlueNode, Avestic Technologies Inc., VideoRay, Nanaimo Port Authority, Snuneymuxw First Nation",General,1.91,3.97,04/20/2023,"Nanaimo, BC"
Ocean Cluster,Project Foundry This project will deliver environmental benefits to the ocean economy through the deployment of Katal's first fuel supply depot in the world located on Canada's East Coast and serving the marine sector.,"Katal Energy, Valent Low Carbon Technologies, Miawpukek Horizon Maritime Services",General,3.24,6.58,04/20/2023,"Calgary, AB"
Ocean Cluster,Commercialization & Capacity Expansion of OSC Projects This project is focusing on four significant opportunities that expand on the original RBR project: acquisition of a deep pressure vessel tank; building an optical test; acquisition of a Fast-Cooling Temperature Calibration (TCal) Bath; and acquisition of an incoming inspection optical scanner.,"RBR, Plymouth Marine Laboratory, Department of Fisheries and Oceans",General,0.72,1.43,04/20/2023,"Ottawa, ON"
Ocean Cluster,"Commercialization of Sustainable Protein for Aquaculture: Market Introductory This project will expand DeNova's capacity to produce large volumes of its protein ingredient that will accelerate market adoption and support the design of its first-level commercial plant. This will ultimately enable market entry by the end of 2023, growing to full scale production of 100,000 metric tons of protein per year by 2026.","DeNova, CFFI Ventures, Center for Aquaculture Technologies, The Verschuren Centre, Innovasea Marine Systems Canada, Smallfood, MCA Consulting, Cooke Aquaculture",General,3.5,7,04/20/2023,"Halifax, NS"
Ocean Cluster,"Multiport International Data Enhancement (MIDE) This project focuses on the expansion of the BNSuite of applications developed in the PIED project, the predecessor project to MIDE. The MIDE project focuses on the development of BNNet, an application that provides the translation and correction functions needed to make the organization work more efficient and reliable, Saab's system provides the structure for the communication and utilization of information to manage operations, to make better decisions, and build more competitive and effective businesses.","BlueNode, Saab Technologies",General,4.13,11.11,04/20/2023,"Halifax, NS"
Ocean Cluster,"Data Enhancement Framework (DEF) This project builds on MIDE, the predecessor project, focusing on a critical component of the value/supply chain in data management software application, the connectivity to the various operational functions of an organization.","BlueNode, Port of Saint John",General,0.5,1,04/20/2023,"Halifax, NS"
Ocean Cluster,"Data Enhancement Framework 2 (DEF2) This project builds on DEF, the predecessor project, focusing on a critical component of value/supply chain in data management. The software will analyze operational functions of an organization for the purposes of operational analysis (CO2e and asset optimization) and coordination amongst stakeholders; as well as the appropriate cyber-security to allow data collaboration. Connectivity to this data enhances the software 'supply chain' for machine learning/data science applications such as those developed by BlueNode.","BlueNode, Port of Saint John, PSA International, Port of Halifax",General,1.32,2.73,04/20/2023,"Halifax, NS"
Ocean Cluster,TallyBot / TallyVision: Pioneering machine learning and computer vision to advance the next generation of seafood processing and traceability technology This project will embed both machine learning and computer vision artificial intelligence (AI) into seafood production and traceability software and advance ThisFish's work on integrating computer vision technology - branded TallyVision.,"ThisFish, Orca Specialty Foods, Eurofish S.A., York University McGill University Hardy Buoys Smoked Fish",General,0.51,1.11,04/20/2023,"Vancouver, BC"
Ocean Cluster,Expansion of Canadian Rope-on-Command Fishing Capacity Project This project is supporting Ashored to increase manufacturing capabilities and strengthen supply chains to ensure that their rope-on-command technology can be delivered to fishermen on time and on budget.,"Ashored, Sensor Technology, eSonar",General,0.68,1.42,04/20/2023,"Bedford, NS"
Ocean Cluster,"Enhancing the OceanDNA System via Automation and Market Positioning Project Environmental DNA (eDNA) is a new way of measuring biodiversity that is fast, accurate, non-invasive, and provides vastly more information than traditional methods. This project will enable eDNAtec to expand its analytical capacity to meet growing customer demands, as well as performing real-world demonstration projects of the benefits of eDNA technologies in fisheries and biodiversity management with the Nunavut Fisheries Association.","eDNAtec,Nunavut Fisheries Association",General,0.55,1.1,04/20/2023,"St. John's, NL"
Ocean Cluster,"Enhanced SPC Manufacturing Application Data Collection and Logistics Project Graphite Innovation and Technologies is expanding into a Net Zero facility in Atlantic Canada and increasing production capacity 12 times while improving efficiency through automation and Artificial Intelligence. In this project, GIT is collaborating with shipyards to improve access to sustainable biocide free, low friction coatings across Canada and the globe.","Graphite Innovation and Technologies, Canadian Maritime Engineering",General,1.62,3.3,04/20/2023,"Dartmouth, NS"
Ocean Cluster,"COMPASS Scale-Up Project This project will assist Sensor Technology to scale up production and develop enhanced versions for additional applications of the Thin Line Array developed in the original project -- a portable technology capable of collecting and analyzing passive acoustic data in real time, onboard untethered autonomous underwater vehicles.","Sensor Technology, Kraken Robotics, JASCO Applied Sciences, Smart Sea Tech",General,1.35,3.32,04/20/2023,"Dartmouth, NS"
Ocean Cluster,Production Resilience In Subsea Sensor Manufacturing Project (PRISSM) The PRISSM project's aim is to enhance and expand Canadian production capability and supply chain resilience in subsea optical-sensor manufacturing to meet the increasing market demand.,"Voyis Imaging, Advantage Machine & Tool",General,0.72,1.45,04/20/2023,"Waterloo, ON"
Ocean Cluster,"Tech Companion -- Operational and In-Service Support This project will support the development and deployment of digital technologies for ocean manufacturers and service providers through an integrated service-hub called 'Tech Companion' that centralizes data in a remotely accessible, intelligent, and automated digital ecosystem for use in ocean industries.","Modest Tree Media, Cartenav Solutions, Mitacs",General,0.64,1.38,04/20/2023,"Halifax, NS"
Ocean Cluster,"Oneka Glacier Project -- Utility-Scale Wave Powered Sustainable Desalination In this project, Oneka will scale up its wave-powered desalination technology to utility-scale, creating a desalination 'Glacier' system to make the ocean a sustainable and affordable source of freshwater.","Oneka Technologies, AF Theriault & Son, H2O Innovation, Barrington Municipality",General,6.7,14.07,03/14/2023,"Sherbrooke, QC"
Ocean Cluster,"Biometrics and Adaptive Learning Technology -- The Future of Maritime Fatigue Management This project will create a comprehensive solution for mitigating fatigue in seafarers by leveraging the power of biometrics, environmental data, and microlearning. This solution will be delivered through the project's flagship solution Skilltinuous. This project will give seafarers the tools to recognize, understand and anticipate fatigue while providing mitigation techniques to avoid it -- a critical advancement in a sector where fatigue while operating heavy equipment can cause injury, death, and significant property damage.","Training Works, Compusult, Qikiqtaaluk",General,2.26,5.84,12/02/2022,"Halifax, NS"
Ocean Cluster,"Coastal Mapping/Monitoring via Autonomous Systems & Services (C-MASS) This project, using unmanned vehicles, will allow for near-real-time monitoring of the littoral zone, which is the part of the ocean that is close to the shore, and will deliver actionable knowledge to many different user communities, such as coastal defence, life sciences, development, and recreation; nearshore aquaculture/shellfish harvesting; climate change monitoring; emergency and infrastructure planning/management; search and rescue; and ports and shipping.","Compusult, StrobelTEK, Spiri Robotics, PicSea, Resolve Robotics, Government of Nova Scotia",General,1.78,6.28,12/02/2022,"Mount Pearl, NL"
Ocean Cluster,"Ocean Allies 2.0 This innovation ecosystem project will foster a more diverse, inclusive, and equitable space in the ocean economy for untapped communities. Building on the success of the first phase of Ocean Allies, phase 2.0 will refine the areas of work in consultation with ocean organizations and organizations already working to support underrepresented communities and expand beyond the Atlantic provinces to become a national program with partners and key organizations from coast-to-coast-to-coast.","Pisces Research Project Management, The Huntsman Marine Science Centre",General,0.75,1.12,11/01/2022,"Dartmouth, NS"
Ocean Cluster,"Crowdsourced Wind Maps: A New Type of Data for Marine Weather & Navigation This project will use connected wind sensors on boats to improve the resolution of marine weather forecasts. Unlike satellite imaging, using actual wind measurements provides much higher resolution than has ever been possible. This solution improves marine weather and navigation for all types of boating/shipping, and opens new growth and revenue opportunities for Canadian companies.","SailTimer, Canadian Yachting, IIC Technologies, MarksetBOT, McBride Racing, Navcast, StormGlass AB, Weather Tactics",General,0.54,1.78,08/18/2022,"Halifax, NS"
Ocean Cluster,Blue Mentorship and Leadership Pathways This project aims to build a more robust and innovative marine sector by increasing diversity and creating a system for professional enhancement within the sector through the use of a strong and sustainable mentorship network.,"ECO Canada, Centre for Ocean Ventures & Entrepreneurs (COVE), College of the North Atlantic (CNA), Nova Scotia Community College (NSCC), Future Skills Canada, Joint Economic Development Initiative (JEDI)",General,0.46,0.92,07/08/2022,"Calgary, AB"
Ocean Cluster,"Indigenous Career Pivot 2.0 Building on the success of the Indigenous Career Pivot Project piloted in 2020, this project will facilitate and support meaningful 12-month work placements for up to 17 Indigenous People wishing to explore new career options in Canada's ocean economy.","Clear Seas, College of the North Atlantic, British Columbia Institute of Technology (BCIT), Aboriginal Community Career Employment Services Society (ACCESS)",General,0.75,1.22,05/17/2022,"Vancouver, BC"
Ocean Cluster,"BlueVita Technology This project will introduce new technologies for the mobile storage and transport of aquatic life through a novel, best-in-class, multi-modal system. The system controls and manages the storage and transport environment, maintains product quality, reduces shrinkage, and provides high animal welfare standards. The project will also address significant challenges faced by the seafood sector in Canada and around the globe, this includes undervalued seafood that has been frozen due to seasonal harvests. This project will also enable access to high-end markets that are currently constrained by air transport costs, complicated shipping logistics, or other factors. ","Ship Nature's Way Inc., GIS Gas Infusion Systems, Ocean Perfect Holding BV, Huntsman Marine Science Centre, Membertou First Nation, Kingsclear First Nation, Pabineau First Nation, Current Water Technologies Inc.",General,0.83,1.68,03/13/2022,"St. Andrews, NB"
Ocean Cluster,"Clean Ocean Advanced Biofuels Project partners will be working together to produce Canada's first renewable diesel from abundantly available agricultural and forestry by-products. A major ocean industry challenge is the need for a range of environmentally sustainable, low greenhouse gas (GHG) emission, and low-sulphur marine fuels for end-users at a competitive cost that are compliant with fuel regulations. This project will address this challenge by introducing a low carbon biofuel across the marine ecosystem.","Valent Low Carbon Technology, FORGE-Sombra Corporation, Mara Renewables, Sustainable Development Technology Canada (SDTC), Shell Canada, Clearwater, Katal Energy, Horizon Maritime",General,5.87,65.05,02/08/2022,"Dartmouth, NS"
Ocean Cluster,"Coastal Incident Management System This project will provide coastal, Indigenous, and rural communities with a cost-effective rapid response package which will include a mobile command, control and communications system, data analysis tool, and mobile spill response platform for marine emergencies.","Shift Environmental, T'Souke, Saab, Blue Node, Western Canada Marine Response Corporation Head Office (WCMRC), Canadian Coast Guard (DFO), National Indigenous Fisheries Institute (NIFI)",General,4.39,10.48,02/07/2022,"Nanaimo, BC"
Ocean Cluster,"Precision Fish Harvesting This project will develop a 'SmartNet' using herding and deterring technology. It seeks to deploy uncrewed service vessels (USVs) to improve the efficiency of conventional trawl fishing, and to reduce bycatching and seabed contact.","Katchi, Scotia Harvest Inc., ABCO Industries Inc., MITACS, National Research Council (NRC) - Industrial Research Assistance Program (IRAP), NRC",General,1.59,3.26,02/07/2022,"Halifax, NS"
Ocean Cluster,"Resident Autonomous Aquaculture Cage Inspection and Reporting System This project will focus on the opportunity to further enhance operations and work toward a proactive approach to fish farming inspection and maintenance. It will develop a new remote aquaculture monitoring solution, using in-cage autonomous vehicle technology, deployed in net cages on a periodic basis to perform inspections through various trophic levels.","Deep Trekker, Visual Defence Inc., MOWI Canada East",General,3.05,6.24,02/07/2022,"Kitchener, ON"
Ocean Cluster,"Autonomous Remote Offshore Wind Inspection, Navigation and Deployment (AROWIND) This consortium will be developing an uncrewed surface vessel (USV)-based subsea inspection solution for offshore windfarm inspection. This project will result in a prevailing ocean solution that will vastly reduce operational costs.","Voyis, Deep Trekker, HydroSurv Unmanned Survey Inc., EVIA, Sonardyne, Saipem",General,2.98,6.6,02/07/2022,"Waterloo, ON"
Ocean Cluster,Ocean Solutions for Immune Boosting Project partners will be using Atlantic sea cucumber to develop and launch a clinically proven novel human health product that can help ward off infectious diseases.,"AKSO Marine Biotech Inc., Atlantic Sea Cucumber Ltd., Fisheries and Oceans Canada - Atlantic Fishery Fund, National Research Council (NRC) - Industrial Research Assistance Program (IRAP) PEI Bio Alliance, GreenShoots",General,0.52,2.32,02/07/2022,"Halifax, NS"
Ocean Cluster,"Offshore Connected Worker Mixed Reality Application This project will implement Connected Worker (CW) technologies offshore in a digital twin environment, reducing the risks and adding value for offshore marine operations by addressing challenges and inefficiencies. This new capability of remote monitoring of assets, and monitoring of personnel allows for reduction of personnel onboard by using data and machine learning to optimize roles, prevent equipment failures, optimize vessel operations, and increase safety of the crew.","Horizon Maritime, Allswater Marine, ShipReality Inc., VMG Investigative Consulting, Rimot, C-CORE, Kognitiv Spark, Kinduct",General,1.47,2.94,12/15/2021,"St. John's, NL"
Ocean Cluster,"Critical Intervention and Operability Analysis for Digital Ocean Operations (CRIOP-DO) This project will build upon Norway's successful Crisis Intervention and Operability Analysis (CRIOP) model to establish a Canadian methodology to demonstrate safety and reliability assurance of critical, complex digital ocean systems, and support regulatory compliance. Project partners will be working together to focus strategically on human-machine interfaces in normal and abnormal operating scenarios, supporting regulators' confidence in digital technologies and ensuring alignment with evolving Canadian regulatory reforms and industry advancement.","Energy Research & Innovation Newfoundland and Labrador (ERI), National Research Council, Oceans, Coastal and Rivers Engineering, Lloyd's Register, Atlantic Towing, Memorial University",General,0.09,0.47,12/15/2021,"St. John's, NL"
Ocean Cluster,"ROC Fishing System This project will develop and commercialize ropeless or rope-on-command (ROC) fishing solutions to help address global problems including vertical line entanglements, plastic pollution, and 'ghost fishing' caused by abandoned, lost, and discarded fishing gear.","Ashored Inc., eSonar Inc.",General,0.65,1.3,11/18/2021,"Bedford, NS"
Ocean Cluster,"Geoscan This project will provide an innovative solution to de-risk offshore wind, oil and gas, and other offshore installations by implementing wider scanning functions in underwater robotic systems. This technology will lead to a reduction of personnel offshore, faster data collection, and improved efficiencies that will support Canada's commitment to net-zero emissions by 2050, while also advancing Canada's leadership in the global blue economy.","PanGeo Subsea Inc., Cellula Robotics, Marine Institute of Memorial University",General,2,3.41,08/11/2021,"St. John's, NL"
Ocean Cluster,"BridgeVue This project leverages an emerging technology to enhance marine navigation by contextualizing radar data over an individual's field of vision, in real time. By using an Augmented Reality (AR) headset, bridge crew can overlay critical information over their field of vision, even when visibility is near zero, increasing their situational awareness.","Engage Creative Technologies, Mitacs, Petroleum Research Newfoundland and Labrador, Rutter, Marine Institute -- Centre for Marine Simulation, Robot Interactive + Marketing",General,0.17,0.42,06/10/2021,"St. John's, NL"
Ocean Cluster,"Marine Safety Training Online This project will accelerate mixed-reality safety training development to offer faster and more accessible digital training options across marine industries. Mariners are essential workers and require regular training to maintain critical skills. Digital training, including simulation, is increasingly popular in the marine industry due to reduced risk and costs, and the ease of access to training. In building the desktop simulators, developing the software, and organizing the online digital content, this project will expand the opportunities for marine training on land.","Virtual Marine Technology Inc., Survival Systems Training Limited, Memorial University",General,0.7,1.8,06/10/2021,"St. John's, NL"
Ocean Cluster,"HydroSpark This project will focus on emerging mixed reality technologies to develop a secure ocean data visualization and collaboration application using the Microsoft HoloLens 2 and Microsoft Azure Mixed Reality Services. This application will visualize underwater environments in 3D mixed reality to support training, mission planning and rehearsal, and support defence and other marine sector underwater operations.","Kognitiv Spark, Kraken Robotics, University of New Brunswick, New Brunswick Community College",General,0.4,0.81,06/10/2021,"Fredericton, NB"
Ocean Cluster,Bubble Diffuser Aeration Entrainment Monitor This project will develop a real-time entrainment monitoring system for aquaculture fish farms in complex coastal ocean environments ensuring the effectiveness of bubble systems in aquaculture while reducing costs and emissions associated with fish-farming operations. The products and related services will allow customers to reduce overall greenhouse gas emissions and reduce the fish mortality from high surface temperatures and harmful algal blooms.,"ASL Environmental Sciences, MOWI Canada West",General,0.32,0.5,06/10/2021,"Victoria, BC"
Ocean Cluster,"Split PM Hybrid Propulsion Motor This project will develop a hybrid diesel-electric system to make the hybridization of existing vessels worldwide a financially viable option. It will utilize advanced permanent magnet motor technology to provide both Canadian and vessel clients around the world with a propulsion system that reduces not only maintenance and fuel costs, but also GHG emissions and carbon footprint.","DuXion Motors, Aspin Kemp & Associates",General,1.09,1.68,05/03/2021,Multiple Locations
Ocean Cluster,"Unmanned Digital Twinning of Underwater Assets This project will develop an innovative product that will enable the digital twinning of underwater infrastructures, without the need for external specialists working in remote offshore locations. Once the product launches, conventional offshore remote-operated vehicles/vessel crew will be able to confidently collect high quality image data for post-processing digital twins, guided by way of real-time 3D reconstruction giving feedback on image quality and coverage.","Welaptega Marine, Whitecap Scientific, SubC Imaging",General,0.32,0.59,05/03/2021,"Dartmouth, NS"
Ocean Cluster,Sustainable Protein for Aquaculture: A Circular Approach to the Feed Supply Chain This project aims to develop and commercialize two breakthrough technologies to produce an environmentally sustainable and low-cost protein for the aquaculture industry while reducing oil and gas emissions. The project will take greenhouse gas emissions from upstream oil and gas and convert them into a high-value protein product to be used to feed farmed fish.,"DeNova Inc., CFFI Ventures, Natural Products Canada, The Centre for Aquaculture Technologies Canada, National Research Council of Canada - IRAP, Atlantic Canada Opportunities, Dalhousie University, Cooke Aquaculture, ExxonMobil",General,2.55,6,05/03/2021,"Halifax, NS"
Ocean Cluster,"Mobile and Mixed Reality Virtual Technician and Maintenance Software This project will develop an integrated service-hub, 'Tech Companion', that centralizes data in a remotely accessible, intelligent, and automated digital ecosystem for use in ocean industries. The project has goal to connect technicians across the globe and facilitate the collection of core data, including condition-based monitoring of equipment, task level instructions, structured reporting, and augmented reality training to support tasks on demand.","Modest Tree, RENK Canada, Microsoft Canada",General,1.17,2.22,05/03/2021,"Halifax, NS"
Ocean Cluster,"The Autonomous COMPASS This project will develop a portable, embedded passive acoustic capability which will allow data to be collected and analyzed in-real time, onboard an untethered autonomous underwater vehicle. This new technology will allow for faster, reliable and affordable data acquisition with applications in defence, oceanographic research, marine mammal protection activities, and energy exploration.","Sensor Technology Ltd., Kraken Robotic Systems Inc., 3D Wave Design",General,1.62,2.98,03/24/2021,Nova Scotia
Ocean Cluster,"Port Integration and Enhancement of Data (PIED) This project is developing software products to enhance the ability to collect ocean data and facilitate more effective and efficient ocean operations. These new technologies will enhance specific supply chain data quality through machine learning applications, enhance business intelligence by developing customers' competitive position and improve the interoperability of data between different actors in the supply chain.","BlueNode Inc., Saab Technologies Canada, National Research Council, Halifax Port Authority",General,1.06,3.17,03/24/2021,"Halifax, NS"
Ocean Cluster,Fishless Marine Microbial Fish Oil Project partners will be working together to develop a sustainable alga-based nutritional oil that fully mimics and complements the health benefits of fish oil consumption.,"Mara Renewables Corporation Nature's Way Canada, Algorithm Ingredients Inc.",General,1.79,2.88,03/24/2021,"Bay of Fundy, NB"
Ocean Cluster,"Integrated Operations and Real-Time Analytics This project will bridge gaps between land, sea-based, and processing operations that exist in the aquaculture industry today by providing real-time information, analytics and environmental connectivity to improve overall operations.","Grieg NL, Hi-Tech Comms, AKVA Group, Innovasea, Sub-C Imaging",General,12,26.83,02/25/2021,Multiple Locations
Ocean Cluster,"Orca Project partners will be working together to advance the development of a lower carbon fuel to reduce dependency on diesel for ocean vessels, harbour vessels, cruise ships, ferries, barges, terminal operations, and other marine machinery. The project aims to help grow the ocean economy in a digital, sustainable, and inclusive way.","Katal Energy Inc., Valeant Low Carbon Technologies Inc., Southern Alberta Institute of Technology (SAIT), Mitacs, Deepsense, Spearhead",General,2,4.25,02/17/2021,"Calgary, AB"
Ocean Cluster,"Advancing Smart Integrated Ocean Sensors This project will bring state-of-the-art ocean environmental monitoring sensors into the ocean's autonomous platforms to measure ocean health. These sensors will reduce power, lower costs, enable better system integration, and improve measurements with higher stability and data quality protocols.","RBR Sensors, Oceans Network Canada, Dalhousie University, Department of Fisheries and Oceans (DFO)",General,1.99,3.59,02/17/2021,"Ottawa, ON"
Ocean Cluster,Field Validation of Energy Storage System This project will introduce a novel battery-based Energy Storage Systems (ESS) suited for larger marine vessels to achieve significant greenhouse gas (GHG) reductions in Canada and worldwide.,"Corvus Energy, Seaspan Ferries Corp., Hydro BC, University of Vancouver, BC Ferries",General,2,4.15,02/17/2021,"Richmond, BC"
Ocean Cluster,"Digital Offshore Canada Digital Offshore Canada will bring together shared ocean, asset and operational data into a common platform, and applies value-adding analytical tools (machine learning, optimization, artificial intelligence, and visualization). This project enables the creation of digital twins, which provide powerful 'sandboxes' for innovation, builds capacity and accelerates the digitalization of ocean industries.","Petroleum Research Newfoundland and Labrador (PRNL), Hatch Ltd., MNP, Virtual Marine, GRI Simulations",General,10,19.9,12/18/2020,Newfoundland and Labrador
Ocean Cluster,"Automated Pipeline Inspection for Small AUVs In response to expanding market demand for more efficient ocean floor inspection capabilities, this project will deliver a commercially ready survey payload for automated underwater vehicles (AUV), for immediate adoption by inspection companies to improve their capability and cost efficiency. This collaboration between domestic and international partners will accelerate the proliferation of advanced ocean technology, strengthen the Canadian digital workforce, and deliver long term growth in Canada's ocean economy.","2G Robotics, Ocean Floor Geophysics (OFG), EIVA, L3Harris OceanServer, Ocean Infinity",General,0.99,1.72,12/17/2020,"Waterloo, ON"
Ocean Cluster,"Tallybot Project partners will be working together to develop predictive and prescriptive machine learning (ML) algorithms---branded Tallybots--- to help optimize fish plant and cannery operations. Tallybots will help processors maximize yields, improve quality and reduce data errors and noncompliance.","ThisFish Inc., Orca Specialty Food Ltd., Hardy Buoys Smoke Fish Inc., McGill University -- Department of Food Science and Agricultural Chemistry, York University, Eurofish S.A.",General,0.5,0.87,12/17/2020,"Vancouver, BC"
Ocean Cluster,"Development of Miniaturized Piezocomposite Sonar Transducer This project will develop a customizable solution to improve the quality of the images and scans from inspections of underwater assets in remote locations, using miniaturized piezocomposite sonar transducers, which will allow end users to make quicker and more reliable decisions. This made in Canada solution will create new domestic and export opportunities, skilled jobs and supply chain opportunities.","Sensor Technology Ltd., NorthEastern Micro, Kraken Robotics",General,0.57,0.91,12/17/2020,"Dartmouth, NS"
Ocean Cluster,"Ocean Energy Smart Grid Integration Project This project will enable the cost-effective integration of Ocean Energy Generators (OEG) into communities. Many remote coastal communities are not connected to national electrical grids, and the cost of integrating new green energy generation alternatives is high due to the need for customization. This project standardizes the smart grid through the 'Microgrid Interface Unit' (MIU). This will result in reduced dependency on diesel generators in rural communities and increase the opportunity for renewable sources of energy.","BMT Canada, Sustainable Marine Energy",General,0.63,0.98,12/17/2020,"Ottawa, ON"
Ocean Cluster,"Digital Ship In-Service Support System This project combines on-board vessel sensor and digital twin technologies for vessel management and maintenance through an advanced technology platform. This new platform will help vessel designers, builders, operators and maintainers more efficiently manage vessel lifecycle; reduce down-time for repair and maintenance by providing predictive information; improve vessel design and construction to reduce costs; and integrate multiple data sources by leveraging the language of visualization. It will help make Canada more globally competitive, drive export opportunities, and create jobs in the marine sector.","Seaspan Shipyards, Genoa Design",General,2,3.08,12/14/2020,"North Vancouver, BC"
Ocean Cluster,"Digital IoT This project supports collaborative R&D that will result in an Internet of Things (IoT) enabled solution providing remote monitoring as a Managed Service. The project will enhance Canada's competitive position on the international stage in radar system data acquisition and cloud-based storage & analytics. It will also enable data collection that will enhance further collaboration with academic, government and other industrial partners.","Rutter Inc., Husky Energy, Government of Newfoundland and Labrador, NRC-IRAP",General,0.72,3.17,12/10/2020,"St. John's, NL"
Ocean Cluster,"Blue Futures Pathways This ecosystem-building project will connect youth across Canada with education and employment, and support participants in developing a successful career in the sustainable blue economy. The initiative is supportive of all youth aged 18-30 and will have a particular focus on the inclusion and inspiration of under-represented, remotely located, and Indigenous people.","Students on Ice Foundation, Centre for Ocean Venture Entrepreneurship (COVE), ECO Canada, Mitacs",General,1.49,2.41,11/25/2020,"Gatineau, QC"
Ocean Cluster,"CARIS Cloud Technology This project will develop and utilize highly specialized software in the Cloud that will reduce the need for operators in the field, and enable increased processing and quality control from an office or home setting. The techbology developed through this project will bring efficiencies, cost savings and reduce human risk particularly for higher risk, high priority areas where measurements are currently conducted using regular field surveys.","Teledyne CARIS, Ocean Floor Geophysics, Marine Institute, UNB - Ocean Mapping Group (OMG), Interdisciplinary Development Centre for Ocean Mapping (CIDCO), Hydrospatial International Inc. (H2i)",General,0.94,2.13,11/20/2020,"Fredericton, NB"
Ocean Cluster,"Smart Protective Coatings This project will develop and commercialize new graphene-based protective coating products for vessels. These coatings provide a number of advantages to marine industries including reduced fuel consumption for vessels, non-toxic protection, and reduced underwater radiant noise. The products will not only help position Canada as a global hub of ocean innovation, but also deliver shared competitive advantages in accessing those world-wide market opportunities across different ocean sectors - particularly with its environmental focus.","Graphite Innovation Technologies (GIT), Horizon Maritime Services Ltd., Netukulimk Fisheries Limited (NFL), Mitacs",General,2.24,4.65,11/19/2020,"Halifax, NS"
Ocean Cluster,"Ocean Allies This innovation ecosystem project will foster a more diverse, inclusive, and equitable space in the ocean economy for untapped communities, through partnerships with key ocean sector organizations and targeted strategic activities.","Pisces Research Project Management, Upswing Consulting Solutions, Huntsman Marine Centre, Assembly of First Nations, BioNB, Center for Ocean Ventures and Entrepreneurship (COVE), Irving Shipbuilding, Nova Scotia Business Inc. (NSBI), Ocean Technology Council of Nova Scotia (OTCNS), Ocean Advance, PanGeo Subsea, Synapse PEI, Mitacs",General,0.25,0.42,11/19/2020,Pan-Canadian
Ocean Cluster,"Vitality This innovation ecosystem project will leverage Canada's ocean data to deliver definitive commercial outcomes to the businesses involved by advancing ocean data analysis, management and visualization capabilities, and products.","Pisces Research Project Management, Dalhousie University, Perennia Food and Agriculture Inc., Fundy Ocean Research Centre for Energy (FORCE), University of Victoria, St-Lawrence Global Observatory (SLGO), Tula Foundation, Marine Renewables Canada (MRC), COIN Atlantic",General,1.5,3.8,11/19/2020,Multiple Locations
Ocean Cluster,"XO-G2 Marine industries are seeking safer, lower cost, unmanned solutions for collecting ocean data. This project will develop the next generation of Unmanned Surface Vessel (USV) that addresses these challenges and expands existing capabilities to survey faster, deeper, further offshore with negligible carbon emissions.","XOcean Canada Ltd., XOcean Ltd., ABCO Industries, DMR Boat Design, Ocean Floor Geophysics, Department of Oceans and Fisheries",General,2,3.36,11/19/2020,"Dartmouth, NS"
Ocean Cluster,"Marine Search and Rescue Simulation This project will deliver a new device and capability to train search and rescue (SAR) operators under realistic mission scenarios including turbulent flow zones, sea state, complex ship and offshore installation geometries and rescue rafts, while simulating the full array of harsh East coast and arctic environmental conditions.","Bluedrop Learning Networks, Cougar Helicopters Inc., Memorial University of Newfoundland",General,1.03,2.06,11/13/2020,"Halifax, NS"
Ocean Cluster,"CoLab Enterprise - 3D Engineering Review, Communication & Collaboration Hub This project aims to build and commercialize a highly configurable, enterprise-ready communication platform that supports the future of Agile Model-Based Enterprises and Digital Twin Solutions. This new platform will contribute to Canada's competitive advantage in the management of complex engineering projects, using a cloud-based solution that combines 3D design review technology and mechanical issue tracking to securely support thousands of users working together in real-time.","CoLab Software Inc., Genoa Design, Kraken Robotics, PRNL",General,1.63,2.8,11/13/2020,"St. John's, NL"
Ocean Cluster,Building an Inclusive Workforce for Innovative Arctic Ocean Technology This ecosystem-building projectseeks to provide technical skills training for Inuit participants across Inuit Nunangat. The holistic and culturally contextualized training curriculum will address the barriers faced by Inuit in remote northern communities and promote their inclusion and participation in the ocean economy.,"SmartICE Sea-Ice Monitoring & Information Inc., Pinnguaq Association, Nunavut Fisheries Association, Ilitaqsiniq Literacy Council, Social Research and Demonstration Corporation",General,1.15,1.79,11/13/2020,"St. John's, NL"
Ocean Cluster,"Ocean DNA System Project partners will work in collaboration to revolutionize the development and commercialization of genomics solutions in order to modernize the way we monitor, measure and assess fish stocks and characterize the ocean.","eDNAtec, Petroleum Research Newfoundland and Labrador (PRNL), Nunavut Fisheries Association, Department of Fisheries and Oceans (DFO)",General,2.21,4.91,09/24/2020,"St. John's, NL"
